Taxon	Media 1	Media 2	P. copri 1	P. copri 2
Other	0.141543605461	0.162857142857694	0.22508792497	0.0462277626284999
Bacteroidales	0.51267762608	0.398775510204	0.220789370848	0.166861446565
Prevotellaceae	0	0.000408163265306	0.30871434154	0.701986754967
Lachnospiraceae	0.345778768459	0.437959183673	0.245408362642	0.0849240358395
