100334082	100334090	100334093	100334094	100334097	100334099	100334101	100334102	100334105	100334106	100334110	100334114	100334127	100334128	100334134	100334146	100334147	100334152	100334153	100334155	100334158	100334160	100334162	100334163	100334167	100334168	100334172	100334173	100334174	100334176	100334177	100334178	100334179	100334184	100334185	100334192	100334193	100334194	100334203	100334205	100334206	100334214	100334216	100334217	100334220	100334224	100334226	100334227	100334228	100334229	100334232	100334233	100334234	100334235	100334236	100334240	100334242	100334244	100334247	100334248	100334251	100334253	100334255	100334258	100334259	100334262	100334263	100334266	100334267	100334272	100334275	100334276	100334277	100334278	100334282	100334283	100334285	100334286	100334288	100334289	100334293	100334294	100334296	100334297	100334299	100334300	100334303	100334304	100334305	100334306	100334307	100334310	100334314	100334315	100334318	100334319	100334028	100334032	100334035	100334037	100334040	100334041	100334042	100334045	100334052	100334055	100334056	100334057	100334059	100334062	100334065	100334068	100334072	100334075	100334077
B_SRS013687	1	-1	1	1	-1	1	1	1	1	1	1	1	1	1	-1	-1	1	-1	-1	-1	-1	1	-1	1	1	1	-1	1	-1	1	1	-1	1	1	1	1	1	1	1	1	-1	1	1	-1	1	-1	1	-1	-1	1	-1	1	-1	1	1	-1	1	-1	1	1	-1	1	1	1	1	-1	1	-1	-1	1	1	-1	-1	1	-1	1	1	1	1	1	-1	1	-1	-1	1	1	1	1	-1	-1	-1	1	1	-1	1	-1	-1	-1	1	1	1	1	1	1	-1	1	1	1	-1	1	1	1	1	-1	1
E_SRS022609	-1	1	1	-1	-1	1	1	1	1	-1	-1	1	1	1	-1	-1	1	-1	-1	-1	-1	1	-1	1	-1	1	-1	1	-1	-1	-1	-1	1	-1	-1	1	-1	-1	-1	-1	-1	1	1	1	-1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	1	1	-1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	-1	1	-1	1	1	-1	1	-1	1	1	-1	-1	1	1	1	-1	1	1	-1	-1	-1	1	-1	-1	1	1	-1	-1	1	-1	1	-1	1	-1	-1	1	1	1	-1	1	1	1	1	-1	1
B_SRS023914	1	-1	1	1	-1	1	1	1	1	1	-1	1	1	1	-1	-1	1	-1	-1	-1	-1	1	-1	1	1	1	-1	1	-1	1	1	-1	1	1	1	1	1	1	1	1	-1	1	1	-1	1	-1	1	-1	-1	1	-1	1	-1	1	1	-1	1	-1	1	1	-1	1	1	1	1	-1	1	-1	-1	1	1	-1	-1	1	-1	-1	1	1	1	1	-1	-1	-1	-1	1	-1	1	1	-1	-1	-1	1	1	-1	1	1	-1	-1	1	1	1	1	1	1	-1	1	1	1	-1	1	1	1	1	-1	1
A_SRS013521	1	-1	-1	1	-1	-1	1	1	1	-1	-1	1	1	1	-1	-1	1	-1	-1	1	-1	1	-1	1	1	1	-1	1	-1	1	1	1	-1	1	1	1	1	1	1	1	1	1	1	-1	1	-1	1	-1	-1	1	-1	1	-1	1	-1	-1	-1	1	-1	-1	-1	1	1	1	-1	-1	1	-1	-1	1	-1	-1	-1	-1	-1	-1	1	1	-1	1	-1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	1	1	-1	1	-1	-1	1	1	-1	1	1	1	-1	-1	-1	-1	-1	-1	1	-1	-1	1	-1	-1
D_SRS011271	1	-1	1	1	-1	1	1	1	1	1	-1	1	1	1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	1	1	-1	1	1	1	-1	-1	-1	1	1	1	-1	1	1	1	-1	1	1	1	-1	1	1	1	-1	1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	1	-1	1	-1	1	-1	-1	-1	-1	1	1	1	-1	-1	1	1	1	1	-1	-1	1	-1	1	-1	1	1	-1	-1	-1	-1	1	1	1	1	-1	1	1	-1	1	-1	-1	1	-1	-1	-1	-1	1	1	-1	1	1	-1	1
E_SRS011134	-1	1	1	-1	-1	1	1	1	1	-1	-1	1	1	1	-1	-1	1	-1	-1	-1	-1	1	-1	1	-1	1	-1	1	-1	-1	-1	-1	1	-1	-1	1	-1	-1	-1	-1	-1	1	1	-1	-1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	1	1	-1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	-1	1	-1	1	1	-1	1	-1	1	1	-1	-1	1	1	1	-1	1	1	-1	-1	-1	1	-1	-1	1	1	-1	-1	1	-1	1	-1	1	-1	-1	1	1	1	-1	1	1	1	1	-1	1
D_SRS023526	1	-1	1	1	-1	1	1	1	1	1	-1	1	1	1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	1	1	-1	1	1	1	-1	-1	-1	1	1	1	-1	1	1	1	-1	1	1	1	-1	1	1	1	-1	1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	1	-1	1	-1	1	-1	-1	-1	-1	1	1	1	-1	-1	1	1	1	1	-1	-1	1	-1	1	-1	1	1	-1	-1	-1	-1	1	1	1	1	-1	1	1	-1	1	-1	-1	1	-1	-1	-1	-1	1	1	-1	1	1	-1	1
A_SRS078176	1	-1	-1	1	-1	-1	1	1	1	-1	-1	1	1	1	-1	-1	1	-1	-1	1	-1	1	-1	1	1	1	-1	1	-1	1	1	1	-1	1	1	1	1	1	1	1	1	1	1	-1	1	-1	1	-1	-1	1	-1	1	-1	1	1	-1	-1	1	-1	1	-1	1	1	1	-1	-1	1	-1	-1	1	-1	-1	-1	-1	-1	-1	1	1	-1	1	-1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	1	1	-1	1	-1	-1	1	1	-1	1	1	1	-1	-1	-1	-1	-1	-1	1	-1	-1	1	-1	-1
C_SRS015782	1	1	1	1	-1	1	1	1	1	1	-1	1	1	1	-1	-1	1	-1	-1	-1	-1	1	-1	1	1	1	-1	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	1	-1	1	-1	1	1	1	1	-1	-1	1	-1	1	-1	1	-1	1	1	-1	-1	-1	-1	1	-1	-1	1	-1	1	-1	-1	-1	-1	1	1	1	-1	-1	1	1	1	1	-1	-1	1	-1	1	-1	1	1	-1	-1	-1	1	1	-1	1	-1	-1	1	1	1	1	-1	-1	1	-1	-1	-1	-1	-1	1	-1	1	1	-1	1
C_SRS047044	1	1	1	1	-1	1	1	1	1	1	-1	1	1	1	-1	-1	1	-1	-1	-1	-1	1	-1	1	1	1	-1	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	1	-1	1	-1	1	1	1	1	-1	-1	1	-1	1	-1	1	-1	1	1	-1	-1	-1	-1	1	-1	-1	1	-1	1	-1	-1	-1	-1	1	1	1	-1	-1	1	1	1	1	-1	-1	1	-1	1	-1	1	1	-1	-1	-1	1	1	-1	1	-1	-1	1	1	1	1	-1	-1	1	-1	-1	-1	-1	-1	1	-1	1	1	-1	1
A_SRS049995	1	-1	-1	1	-1	-1	1	1	1	-1	-1	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	1	1	1	-1	1	-1	1	1	1	-1	1	1	1	1	1	1	1	1	1	1	-1	1	-1	1	-1	-1	1	-1	1	-1	1	1	-1	-1	1	-1	1	-1	1	1	1	1	-1	1	-1	-1	1	-1	-1	-1	-1	-1	-1	1	1	-1	1	-1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	-1	1	-1	1	-1	-1	1	1	-1	1	1	1	-1	-1	-1	-1	-1	-1	1	-1	-1	1	-1	-1
